Month,Longitude,Latitude,Outcome type
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Local resolution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Local resolution
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given penalty notice
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Offender given penalty notice
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Local resolution
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given penalty notice
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a caution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,0.152087,51.560349,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Suspect charged
6/1/2015,,,Local resolution
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Suspect charged
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,,,Offender given a drugs possession warning
6/1/2015,,,Offender given penalty notice
6/1/2015,,,Offender given a caution
6/1/2015,-0.136962,51.416189,Offender given penalty notice
6/1/2015,-0.137233,51.418361,Suspect charged
6/1/2015,-0.133318,51.463963,Investigation complete; no suspect identified
6/1/2015,-0.119267,51.50282,Offender given a drugs possession warning
6/1/2015,-0.158791,51.384736,Investigation complete; no suspect identified
6/1/2015,-0.158791,51.384736,Investigation complete; no suspect identified
6/1/2015,-0.114113,51.462208,Investigation complete; no suspect identified
6/1/2015,-0.114113,51.462208,Investigation complete; no suspect identified
6/1/2015,-0.120311,51.446966,Suspect charged
6/1/2015,-0.120311,51.446966,Suspect charged
6/1/2015,-0.122792,51.488911,Local resolution
6/1/2015,-0.122792,51.488911,Local resolution
6/1/2015,-0.093495,51.472297,Investigation complete; no suspect identified
6/1/2015,-0.14664,51.487996,Investigation complete; no suspect identified
6/1/2015,-0.129755,51.489823,Investigation complete; no suspect identified
6/1/2015,-0.150934,51.513234,Investigation complete; no suspect identified
6/1/2015,-0.133122,51.498734,Investigation complete; no suspect identified
6/1/2015,-0.143109,51.48981,Investigation complete; no suspect identified
6/1/2015,-0.183818,51.52131,Offender given a caution
6/1/2015,-0.13338,51.514988,Investigation complete; no suspect identified
6/1/2015,-0.193713,51.522956,Investigation complete; no suspect identified
6/1/2015,-0.141682,51.485939,Investigation complete; no suspect identified
6/1/2015,-0.132982,51.516618,Suspect charged
6/1/2015,-0.147258,51.512897,Investigation complete; no suspect identified
6/1/2015,-0.124933,51.500969,Investigation complete; no suspect identified
6/1/2015,-0.124933,51.500969,Investigation complete; no suspect identified
6/1/2015,-0.129162,51.4994,Investigation complete; no suspect identified
6/1/2015,-0.172989,51.5167,Investigation complete; no suspect identified
6/1/2015,-0.14605,51.497905,Investigation complete; no suspect identified
6/1/2015,-0.147839,51.492529,Offender given a drugs possession warning
6/1/2015,-0.153534,51.520208,Investigation complete; no suspect identified
6/1/2015,-0.199626,51.530186,Investigation complete; no suspect identified
6/1/2015,-0.142319,51.513484,Offender given a caution
6/1/2015,-0.133475,51.516905,Suspect charged
6/1/2015,-0.133475,51.516905,Suspect charged
6/1/2015,-0.135448,51.522224,Investigation complete; no suspect identified
6/1/2015,-0.135448,51.522224,Investigation complete; no suspect identified
6/1/2015,-0.125874,51.511748,Offender given a caution
6/1/2015,-0.138977,51.510275,Local resolution
6/1/2015,-0.133592,51.519676,Investigation complete; no suspect identified
6/1/2015,-0.133592,51.519676,Investigation complete; no suspect identified
6/1/2015,0.064287,51.566828,Investigation complete; no suspect identified
6/1/2015,-0.19745,51.518859,Investigation complete; no suspect identified
6/1/2015,-0.131336,51.513166,Suspect charged
6/1/2015,-0.137252,51.523233,Investigation complete; no suspect identified
6/1/2015,-0.137252,51.523233,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.126479,51.508592,Offender given a caution
6/1/2015,-0.14043,51.519893,Investigation complete; no suspect identified
6/1/2015,-0.128839,51.512191,Suspect charged
6/1/2015,-0.190836,51.46714,Investigation complete; no suspect identified
6/1/2015,-0.221402,51.50784,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.241964,51.515362,Investigation complete; no suspect identified
6/1/2015,-0.233438,51.506619,Offender given a caution
6/1/2015,-0.206895,51.474329,Suspect charged
6/1/2015,-0.026688,51.463827,Investigation complete; no suspect identified
6/1/2015,-0.224336,51.494629,Suspect charged
6/1/2015,-0.23984,51.506517,Investigation complete; no suspect identified
6/1/2015,-0.223209,51.497697,Investigation complete; no suspect identified
6/1/2015,-0.222497,51.480798,Investigation complete; no suspect identified
6/1/2015,-0.229109,51.516086,Investigation complete; no suspect identified
6/1/2015,-0.221402,51.50784,Local resolution
6/1/2015,-0.217175,51.499476,Investigation complete; no suspect identified
6/1/2015,-0.24592,51.5148,Investigation complete; no suspect identified
6/1/2015,-0.200801,51.483192,Investigation complete; no suspect identified
6/1/2015,-0.21571,51.487179,Local resolution
6/1/2015,-0.202289,51.484159,Investigation complete; no suspect identified
6/1/2015,-0.230846,51.490205,Investigation complete; no suspect identified
6/1/2015,-0.207716,51.471023,Investigation complete; no suspect identified
6/1/2015,-0.207716,51.471023,Investigation complete; no suspect identified
6/1/2015,-0.207716,51.471023,Investigation complete; no suspect identified
6/1/2015,-0.222114,51.500288,Investigation complete; no suspect identified
6/1/2015,-0.228336,51.52039,Investigation complete; no suspect identified
6/1/2015,-0.185857,51.47468,Investigation complete; no suspect identified
6/1/2015,-0.180392,51.474145,Investigation complete; no suspect identified
6/1/2015,-0.212171,51.483744,Offender given a drugs possession warning
6/1/2015,-0.243972,51.505878,Investigation complete; no suspect identified
6/1/2015,-0.226466,51.492476,Suspect charged
6/1/2015,-0.197575,51.480984,Investigation complete; no suspect identified
6/1/2015,-0.194424,51.480549,Suspect charged
6/1/2015,-0.20279,51.485336,Investigation complete; no suspect identified
6/1/2015,-0.216917,51.496468,Investigation complete; no suspect identified
6/1/2015,-0.190297,51.481115,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.192592,51.471151,Investigation complete; no suspect identified
6/1/2015,-0.224875,51.502281,Investigation complete; no suspect identified
6/1/2015,-0.216103,51.506635,Investigation complete; no suspect identified
6/1/2015,-0.174686,51.494434,Suspect charged
6/1/2015,-0.205878,51.520777,Offender given a drugs possession warning
6/1/2015,-0.163041,51.499584,Offender given penalty notice
6/1/2015,-0.193648,51.492173,Investigation complete; no suspect identified
6/1/2015,-0.201667,51.495957,Investigation complete; no suspect identified
6/1/2015,-0.210512,51.520237,Investigation complete; no suspect identified
6/1/2015,-0.216123,51.516069,Suspect charged
6/1/2015,-0.220621,51.513448,Suspect charged
6/1/2015,-0.189471,51.502702,Offender given a caution
6/1/2015,-0.18106,51.493184,Suspect charged
6/1/2015,0.20627,51.600134,Investigation complete; no suspect identified
6/1/2015,0.239949,51.597877,Offender given a caution
6/1/2015,0.250418,51.601967,Offender given a caution
6/1/2015,0.168711,51.520996,Suspect charged
6/1/2015,0.176228,51.577044,Offender given a caution
6/1/2015,0.183438,51.576002,Investigation complete; no suspect identified
6/1/2015,0.184499,51.573446,Investigation complete; no suspect identified
6/1/2015,0.188005,51.559298,Investigation complete; no suspect identified
6/1/2015,0.183884,51.577783,Investigation complete; no suspect identified
6/1/2015,0.182901,51.578943,Investigation complete; no suspect identified
6/1/2015,0.249641,51.604059,Investigation complete; no suspect identified
6/1/2015,0.274082,51.5666,Investigation complete; no suspect identified
6/1/2015,0.278947,51.56664,Investigation complete; no suspect identified
6/1/2015,0.245729,51.551121,Investigation complete; no suspect identified
6/1/2015,0.235867,51.605311,Suspect charged
6/1/2015,0.21855,51.594327,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,0.184361,51.580202,Investigation complete; no suspect identified
6/1/2015,0.159887,51.586402,Investigation complete; no suspect identified
6/1/2015,0.217214,51.596825,Investigation complete; no suspect identified
6/1/2015,0.199301,51.55093,Investigation complete; no suspect identified
6/1/2015,0.181395,51.579448,Investigation complete; no suspect identified
6/1/2015,0.242896,51.607866,Offender given a caution
6/1/2015,0.190668,51.520138,Investigation complete; no suspect identified
6/1/2015,0.190668,51.520138,Investigation complete; no suspect identified
6/1/2015,0.201251,51.566505,Investigation complete; no suspect identified
6/1/2015,0.201251,51.566505,Investigation complete; no suspect identified
6/1/2015,0.1991,51.520421,Investigation complete; no suspect identified
6/1/2015,0.211779,51.605336,Investigation complete; no suspect identified
6/1/2015,0.022851,51.524016,Investigation complete; no suspect identified
6/1/2015,0.043318,51.539075,Investigation complete; no suspect identified
6/1/2015,0.014224,51.535306,Investigation complete; no suspect identified
6/1/2015,0.019206,51.5446,Suspect charged
6/1/2015,0.021432,51.550578,Offender given a caution
6/1/2015,0.061832,51.536808,Suspect charged
6/1/2015,0.000783,51.54086,Offender given penalty notice
6/1/2015,0.05886,51.533254,Investigation complete; no suspect identified
6/1/2015,0.05886,51.533254,Investigation complete; no suspect identified
6/1/2015,0.03632,51.530905,Investigation complete; no suspect identified
6/1/2015,-0.002028,51.54187,Investigation complete; no suspect identified
6/1/2015,0.010572,51.550935,Investigation complete; no suspect identified
6/1/2015,0.057167,51.512646,Investigation complete; no suspect identified
6/1/2015,0.025152,51.528446,Investigation complete; no suspect identified
6/1/2015,0.013732,51.521232,Investigation complete; no suspect identified
6/1/2015,0.013732,51.521232,Investigation complete; no suspect identified
6/1/2015,0.014705,51.541296,Investigation complete; no suspect identified
6/1/2015,0.007958,51.53643,Investigation complete; no suspect identified
6/1/2015,0.007958,51.53643,Investigation complete; no suspect identified
6/1/2015,0.048743,51.528872,Investigation complete; no suspect identified
6/1/2015,0.010188,51.534027,Investigation complete; no suspect identified
6/1/2015,0.063431,51.547922,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,0.034049,51.538831,Investigation complete; no suspect identified
6/1/2015,0.055998,51.527972,Investigation complete; no suspect identified
6/1/2015,0.05057,51.533921,Investigation complete; no suspect identified
6/1/2015,0.051069,51.540531,Investigation complete; no suspect identified
6/1/2015,0.061607,51.553844,Investigation complete; no suspect identified
6/1/2015,0.061607,51.553844,Investigation complete; no suspect identified
6/1/2015,0.003771,51.520549,Investigation complete; no suspect identified
6/1/2015,0.029862,51.552662,Investigation complete; no suspect identified
6/1/2015,0.009559,51.541025,Suspect charged
6/1/2015,0.009914,51.541882,Suspect charged
6/1/2015,0.008339,51.551963,Investigation complete; no suspect identified
6/1/2015,0.008339,51.551963,Investigation complete; no suspect identified
6/1/2015,-0.018448,51.565556,Suspect charged
6/1/2015,-0.002028,51.54187,Investigation complete; no suspect identified
6/1/2015,0.008797,51.51718,Investigation complete; no suspect identified
6/1/2015,0.005319,51.548579,Investigation complete; no suspect identified
6/1/2015,0.020831,51.514536,Investigation complete; no suspect identified
6/1/2015,0.016548,51.53309,Investigation complete; no suspect identified
6/1/2015,0.08207,51.516415,Investigation complete; no suspect identified
6/1/2015,0.056801,51.554109,Investigation complete; no suspect identified
6/1/2015,0.04894,51.546108,Investigation complete; no suspect identified
6/1/2015,-0.002028,51.54187,Investigation complete; no suspect identified
6/1/2015,0.016431,51.514783,Investigation complete; no suspect identified
6/1/2015,0.016431,51.514783,Investigation complete; no suspect identified
6/1/2015,0.045361,51.534803,Investigation complete; no suspect identified
6/1/2015,0.045361,51.534803,Investigation complete; no suspect identified
6/1/2015,0.03438,51.534302,Investigation complete; no suspect identified
6/1/2015,0.014766,51.54366,Investigation complete; no suspect identified
6/1/2015,0.032378,51.546,Investigation complete; no suspect identified
6/1/2015,0.051368,51.534024,Investigation complete; no suspect identified
6/1/2015,0.028979,51.525034,Investigation complete; no suspect identified
6/1/2015,0.028979,51.525034,Investigation complete; no suspect identified
6/1/2015,0.045111,51.524079,Investigation complete; no suspect identified
6/1/2015,0.007368,51.534821,Investigation complete; no suspect identified
6/1/2015,0.025624,51.547529,Investigation complete; no suspect identified
6/1/2015,-0.002028,51.54187,Investigation complete; no suspect identified
6/1/2015,0.031439,51.541421,Investigation complete; no suspect identified
6/1/2015,0.045176,51.545454,Investigation complete; no suspect identified
6/1/2015,0.021789,51.544304,Investigation complete; no suspect identified
6/1/2015,-0.001472,51.547301,Investigation complete; no suspect identified
6/1/2015,0.001662,51.545107,Investigation complete; no suspect identified
6/1/2015,0.051243,51.53605,Investigation complete; no suspect identified
6/1/2015,0.054517,51.532539,Investigation complete; no suspect identified
6/1/2015,0.023047,51.551215,Investigation complete; no suspect identified
6/1/2015,0.001704,51.547049,Investigation complete; no suspect identified
6/1/2015,0.065238,51.532414,Investigation complete; no suspect identified
6/1/2015,0.062592,51.525554,Offender given a caution
6/1/2015,0.015535,51.533656,Investigation complete; no suspect identified
6/1/2015,0.009036,51.515728,Investigation complete; no suspect identified
6/1/2015,0.009036,51.515728,Investigation complete; no suspect identified
6/1/2015,0.019086,51.55265,Investigation complete; no suspect identified
6/1/2015,0.043139,51.543124,Offender given a caution
6/1/2015,0.053251,51.536788,Suspect charged
6/1/2015,0.004691,51.544777,Suspect charged
6/1/2015,-0.003372,51.537523,Investigation complete; no suspect identified
6/1/2015,0.064086,51.554421,Investigation complete; no suspect identified
6/1/2015,0.045,51.553757,Suspect charged
6/1/2015,0.003357,51.538721,Investigation complete; no suspect identified
6/1/2015,0.129799,51.561025,Investigation complete; no suspect identified
6/1/2015,0.129799,51.561025,Investigation complete; no suspect identified
6/1/2015,0.140634,51.583427,Investigation complete; no suspect identified
6/1/2015,0.102623,51.537055,Investigation complete; no suspect identified
6/1/2015,0.118941,51.527931,Investigation complete; no suspect identified
6/1/2015,0.128719,51.562916,Investigation complete; no suspect identified
6/1/2015,0.159435,51.552525,Investigation complete; no suspect identified
6/1/2015,0.141106,51.538203,Investigation complete; no suspect identified
6/1/2015,0.102404,51.526673,Investigation complete; no suspect identified
6/1/2015,0.075407,51.539159,Investigation complete; no suspect identified
6/1/2015,0.104736,51.528151,Suspect charged
6/1/2015,-0.3393,51.456442,Suspect charged
6/1/2015,0.148494,51.561242,Investigation complete; no suspect identified
6/1/2015,0.098342,51.534893,Investigation complete; no suspect identified
6/1/2015,0.081555,51.537035,Investigation complete; no suspect identified
6/1/2015,0.151566,51.556635,Investigation complete; no suspect identified
6/1/2015,0.094362,51.545575,Investigation complete; no suspect identified
6/1/2015,0.163477,51.544366,Investigation complete; no suspect identified
6/1/2015,0.16433,51.545942,Investigation complete; no suspect identified
6/1/2015,0.089964,51.533936,Suspect charged
6/1/2015,0.111934,51.566537,Investigation complete; no suspect identified
6/1/2015,0.111934,51.566537,Investigation complete; no suspect identified
6/1/2015,0.104736,51.528151,Suspect charged
6/1/2015,0.109195,51.528565,Investigation complete; no suspect identified
6/1/2015,-0.007049,51.591622,Investigation complete; no suspect identified
6/1/2015,-0.007398,51.563858,Investigation complete; no suspect identified
6/1/2015,-0.002322,51.572684,Offender given a caution
6/1/2015,-0.01849,51.583173,Investigation complete; no suspect identified
6/1/2015,-0.028679,51.582554,Investigation complete; no suspect identified
6/1/2015,-0.019305,51.582702,Investigation complete; no suspect identified
6/1/2015,0.01167,51.555539,Investigation complete; no suspect identified
6/1/2015,-0.019811,51.588978,Investigation complete; no suspect identified
6/1/2015,-0.012497,51.5614,Investigation complete; no suspect identified
6/1/2015,-0.003793,51.587187,Investigation complete; no suspect identified
6/1/2015,-0.035168,51.593076,Investigation complete; no suspect identified
6/1/2015,-0.020046,51.576275,Investigation complete; no suspect identified
6/1/2015,-0.005359,51.590658,Investigation complete; no suspect identified
6/1/2015,-0.000086,51.608157,Investigation complete; no suspect identified
6/1/2015,-0.000086,51.608157,Investigation complete; no suspect identified
6/1/2015,-0.01071,51.584499,Investigation complete; no suspect identified
6/1/2015,-0.000525,51.600143,Investigation complete; no suspect identified
6/1/2015,-0.027859,51.57915,Investigation complete; no suspect identified
6/1/2015,-0.004786,51.632059,Investigation complete; no suspect identified
6/1/2015,0.006231,51.632194,Investigation complete; no suspect identified
6/1/2015,0.003182,51.619747,Investigation complete; no suspect identified
6/1/2015,0.004492,51.595705,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,0.019193,51.573628,Investigation complete; no suspect identified
6/1/2015,-0.01435,51.572852,Investigation complete; no suspect identified
6/1/2015,-0.01327,51.571476,Investigation complete; no suspect identified
6/1/2015,-0.015855,51.570099,Suspect charged
6/1/2015,-0.029877,51.576216,Investigation complete; no suspect identified
6/1/2015,-0.00841,51.59088,Investigation complete; no suspect identified
6/1/2015,0.010752,51.564169,Investigation complete; no suspect identified
6/1/2015,-0.032316,51.580555,Investigation complete; no suspect identified
6/1/2015,-0.028202,51.583562,Investigation complete; no suspect identified
6/1/2015,-0.033156,51.593861,Suspect charged
6/1/2015,0.016844,51.566529,Investigation complete; no suspect identified
6/1/2015,-0.013536,51.580599,Suspect charged
6/1/2015,-0.009208,51.556434,Offender given penalty notice
6/1/2015,-0.024725,51.582865,Investigation complete; no suspect identified
6/1/2015,-0.002617,51.586366,Investigation complete; no suspect identified
6/1/2015,-0.003592,51.588496,Investigation complete; no suspect identified
6/1/2015,0.009555,51.560907,Investigation complete; no suspect identified
6/1/2015,0.007355,51.575162,Investigation complete; no suspect identified
6/1/2015,-0.030964,51.613167,Investigation complete; no suspect identified
6/1/2015,-0.029945,51.57798,Investigation complete; no suspect identified
6/1/2015,0.011372,51.554671,Local resolution
6/1/2015,-0.007049,51.591622,Offender given a caution
6/1/2015,0.076228,51.560034,Investigation complete; no suspect identified
6/1/2015,0.076228,51.560034,Investigation complete; no suspect identified
6/1/2015,-0.029169,51.585242,Suspect charged
6/1/2015,0.015126,51.571396,Suspect charged
6/1/2015,0.003149,51.630799,Local resolution
6/1/2015,0.003149,51.630799,Local resolution
6/1/2015,-0.004396,51.578699,Suspect charged
6/1/2015,0.011849,51.566138,Suspect charged
6/1/2015,-0.014476,51.598771,Suspect charged
6/1/2015,-0.002264,51.598348,Suspect charged
6/1/2015,0.062788,51.557933,Investigation complete; no suspect identified
6/1/2015,0.062788,51.557933,Investigation complete; no suspect identified
6/1/2015,-0.058743,51.551104,Investigation complete; no suspect identified
6/1/2015,-0.074773,51.535614,Investigation complete; no suspect identified
6/1/2015,-0.074773,51.535614,Investigation complete; no suspect identified
6/1/2015,-0.059807,51.549818,Suspect charged
6/1/2015,-0.086196,51.530396,Offender given penalty notice
6/1/2015,-0.076526,51.545687,Suspect charged
6/1/2015,-0.050571,51.555681,Offender given a caution
6/1/2015,-0.070126,51.535034,Offender given a drugs possession warning
6/1/2015,-0.076814,51.528597,Investigation complete; no suspect identified
6/1/2015,-0.083404,51.527878,Investigation complete; no suspect identified
6/1/2015,-0.076712,51.539548,Investigation complete; no suspect identified
6/1/2015,-0.087039,51.526777,Suspect charged
6/1/2015,-0.08584,51.526496,Investigation complete; no suspect identified
6/1/2015,-0.079429,51.524692,Investigation complete; no suspect identified
6/1/2015,-0.097558,51.566326,Investigation complete; no suspect identified
6/1/2015,-0.06788,51.55469,Investigation complete; no suspect identified
6/1/2015,-0.096113,51.568092,Investigation complete; no suspect identified
6/1/2015,-0.07373,51.532989,Investigation complete; no suspect identified
6/1/2015,-0.064363,51.549183,Investigation complete; no suspect identified
6/1/2015,-0.098566,51.565344,Investigation complete; no suspect identified
6/1/2015,-0.083466,51.522951,Investigation complete; no suspect identified
6/1/2015,-0.054586,51.546782,Investigation complete; no suspect identified
6/1/2015,-0.049314,51.546623,Investigation complete; no suspect identified
6/1/2015,-0.119097,51.5734,Investigation complete; no suspect identified
6/1/2015,-0.071776,51.546472,Suspect charged
6/1/2015,-0.046099,51.550625,Investigation complete; no suspect identified
6/1/2015,-0.055998,51.555942,Investigation complete; no suspect identified
6/1/2015,-0.086459,51.522388,Investigation complete; no suspect identified
6/1/2015,-0.094928,51.559161,Investigation complete; no suspect identified
6/1/2015,-0.069682,51.536672,Investigation complete; no suspect identified
6/1/2015,-0.051958,51.536712,Investigation complete; no suspect identified
6/1/2015,-0.055814,51.539617,Suspect charged
6/1/2015,-0.074839,51.557637,Investigation complete; no suspect identified
6/1/2015,-0.076007,51.546371,Investigation complete; no suspect identified
6/1/2015,-0.048479,51.540853,Investigation complete; no suspect identified
6/1/2015,-0.059555,51.544913,Suspect charged
6/1/2015,-0.046758,51.544665,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.083936,51.526519,Suspect charged
6/1/2015,-0.064123,51.536841,Suspect charged
6/1/2015,-0.062388,51.568862,Investigation complete; no suspect identified
6/1/2015,-0.055415,51.546949,Investigation complete; no suspect identified
6/1/2015,-0.071382,51.573533,Investigation complete; no suspect identified
6/1/2015,-0.08584,51.526496,Suspect charged
6/1/2015,-0.09385,51.533533,Investigation complete; no suspect identified
6/1/2015,-0.053137,51.53951,Investigation complete; no suspect identified
6/1/2015,-0.04504,51.54808,Investigation complete; no suspect identified
6/1/2015,-0.083026,51.532071,Offender given a caution
6/1/2015,-0.083216,51.540239,Investigation complete; no suspect identified
6/1/2015,-0.083216,51.540239,Investigation complete; no suspect identified
6/1/2015,-0.076111,51.543891,Investigation complete; no suspect identified
6/1/2015,-0.04126,51.54978,Investigation complete; no suspect identified
6/1/2015,-0.086056,51.536814,Investigation complete; no suspect identified
6/1/2015,0.013649,51.600018,Suspect charged
6/1/2015,0.121281,51.573914,Investigation complete; no suspect identified
6/1/2015,0.080519,51.560813,Offender given a drugs possession warning
6/1/2015,0.063291,51.57225,Suspect charged
6/1/2015,0.085869,51.559809,Investigation complete; no suspect identified
6/1/2015,0.108711,51.562063,Suspect charged
6/1/2015,0.076278,51.561454,Investigation complete; no suspect identified
6/1/2015,0.105436,51.553003,Investigation complete; no suspect identified
6/1/2015,0.088259,51.59464,Suspect charged
6/1/2015,0.088259,51.59464,Suspect charged
6/1/2015,0.067971,51.58759,Offender given a caution
6/1/2015,0.068968,51.555199,Investigation complete; no suspect identified
6/1/2015,0.068968,51.555199,Investigation complete; no suspect identified
6/1/2015,0.087243,51.586961,Offender given a caution
6/1/2015,0.087849,51.554208,Investigation complete; no suspect identified
6/1/2015,0.072855,51.55852,Investigation complete; no suspect identified
6/1/2015,0.072855,51.55852,Investigation complete; no suspect identified
6/1/2015,0.024022,51.592655,Investigation complete; no suspect identified
6/1/2015,0.092565,51.569591,Investigation complete; no suspect identified
